




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (5924)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (expected)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (over/under)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H2AFZ_A549.intersect_with_DeepZ.genes_uniq.txt (FDR)
respiratory chain complex IV assembly (GO:0008535)	26	21	7.48	+	2.81	6.51E-04	2.34E-02
maturation of 5.8S rRNA (GO:0000460)	35	28	10.07	+	2.78	1.01E-04	4.77E-03
mitochondrial RNA metabolic process (GO:0000959)	42	33	12.08	+	2.73	3.50E-05	1.82E-03
maturation of LSU-rRNA (GO:0000470)	28	21	8.05	+	2.61	1.54E-03	4.82E-02
virion assembly (GO:0019068)	34	25	9.78	+	2.56	7.69E-04	2.67E-02
multivesicular body assembly (GO:0036258)	30	22	8.63	+	2.55	1.26E-03	4.04E-02
ribosomal large subunit biogenesis (GO:0042273)	72	52	20.71	+	2.51	1.17E-06	8.49E-05
negative regulation of mitotic nuclear division (GO:0045839)	35	25	10.07	+	2.48	8.75E-04	2.97E-02
spliceosomal snRNP assembly (GO:0000387)	37	26	10.64	+	2.44	7.20E-04	2.53E-02
mitochondrial gene expression (GO:0140053)	86	60	24.74	+	2.43	3.81E-07	2.94E-05
cytochrome complex assembly (GO:0017004)	36	25	10.36	+	2.41	1.04E-03	3.45E-02
RNA phosphodiester bond hydrolysis, exonucleolytic (GO:0090503)	42	29	12.08	+	2.40	4.87E-04	1.83E-02
ribosome assembly (GO:0042255)	61	41	17.55	+	2.34	6.23E-05	3.08E-03
translational elongation (GO:0006414)	46	30	13.23	+	2.27	7.79E-04	2.69E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	45	29	12.94	+	2.24	1.11E-03	3.62E-02
tRNA processing (GO:0008033)	129	83	37.11	+	2.24	3.03E-08	2.63E-06
ribonucleoprotein complex subunit organization (GO:0071826)	193	124	55.52	+	2.23	1.45E-11	1.71E-09
rRNA processing (GO:0006364)	219	139	62.99	+	2.21	1.57E-12	2.14E-10
ribonucleoprotein complex assembly (GO:0022618)	186	118	53.50	+	2.21	9.72E-11	1.06E-08
ribosomal small subunit biogenesis (GO:0042274)	73	46	21.00	+	2.19	5.73E-05	2.87E-03
tRNA metabolic process (GO:0006399)	181	114	52.06	+	2.19	2.22E-10	2.32E-08
mitochondrial translation (GO:0032543)	54	34	15.53	+	2.19	7.13E-04	2.51E-02
rRNA metabolic process (GO:0016072)	230	144	66.16	+	2.18	1.25E-12	1.72E-10
cytoplasmic translation (GO:0002181)	122	76	35.09	+	2.17	3.09E-07	2.42E-05
ribonucleoprotein complex biogenesis (GO:0022613)	424	262	121.96	+	2.15	2.79E-21	8.77E-19
ribosome biogenesis (GO:0042254)	293	181	84.28	+	2.15	4.34E-15	7.66E-13
tRNA modification (GO:0006400)	91	56	26.18	+	2.14	1.53E-05	9.03E-04
mitochondrial respiratory chain complex assembly (GO:0033108)	93	57	26.75	+	2.13	1.81E-05	1.06E-03
mRNA splicing, via spliceosome (GO:0000398)	234	142	67.31	+	2.11	9.37E-12	1.15E-09
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	234	142	67.31	+	2.11	9.37E-12	1.14E-09
translational initiation (GO:0006413)	66	40	18.98	+	2.11	3.80E-04	1.47E-02
ncRNA processing (GO:0034470)	388	235	111.61	+	2.11	1.66E-18	4.57E-16
RNA splicing, via transesterification reactions (GO:0000375)	238	143	68.46	+	2.09	1.86E-11	2.13E-09
protein K48-linked ubiquitination (GO:0070936)	60	36	17.26	+	2.09	7.92E-04	2.73E-02
RNA methylation (GO:0001510)	85	51	24.45	+	2.09	7.05E-05	3.44E-03
mRNA destabilization (GO:0061157)	69	41	19.85	+	2.07	3.43E-04	1.35E-02
nuclear-transcribed mRNA catabolic process (GO:0000956)	98	58	28.19	+	2.06	2.72E-05	1.46E-03
mitochondrial ATP synthesis coupled electron transport (GO:0042775)	85	50	24.45	+	2.05	1.06E-04	5.00E-03
ATP synthesis coupled electron transport (GO:0042773)	85	50	24.45	+	2.05	1.06E-04	4.99E-03
aerobic electron transport chain (GO:0019646)	80	47	23.01	+	2.04	1.63E-04	7.29E-03
telomere maintenance (GO:0000723)	77	45	22.15	+	2.03	2.76E-04	1.15E-02
ncRNA metabolic process (GO:0034660)	469	274	134.90	+	2.03	9.99E-20	2.96E-17
respiratory electron transport chain (GO:0022904)	105	61	30.20	+	2.02	2.22E-05	1.26E-03
translation (GO:0006412)	366	212	105.28	+	2.01	2.57E-15	4.69E-13
RNA destabilization (GO:0050779)	73	42	21.00	+	2.00	6.60E-04	2.35E-02
telomere organization (GO:0032200)	82	47	23.59	+	1.99	2.73E-04	1.14E-02
RNA modification (GO:0009451)	168	96	48.32	+	1.99	2.21E-07	1.75E-05
RNA processing (GO:0006396)	847	481	243.63	+	1.97	4.31E-32	2.42E-29
RNA splicing (GO:0008380)	356	202	102.40	+	1.97	5.37E-14	8.89E-12
oxidative phosphorylation (GO:0006119)	113	64	32.50	+	1.97	2.66E-05	1.43E-03
RNA 3'-end processing (GO:0031123)	106	60	30.49	+	1.97	4.97E-05	2.50E-03
peptidyl-lysine methylation (GO:0018022)	85	48	24.45	+	1.96	3.35E-04	1.33E-02
peptide biosynthetic process (GO:0043043)	388	219	111.61	+	1.96	7.71E-15	1.33E-12
mRNA processing (GO:0006397)	437	244	125.70	+	1.94	5.51E-16	1.14E-13
mRNA catabolic process (GO:0006402)	125	69	35.96	+	1.92	2.75E-05	1.47E-03
mRNA metabolic process (GO:0016071)	564	311	162.23	+	1.92	1.53E-19	4.36E-17
protein methylation (GO:0006479)	129	71	37.11	+	1.91	2.47E-05	1.38E-03
protein alkylation (GO:0008213)	129	71	37.11	+	1.91	2.47E-05	1.38E-03
ubiquitin-dependent ERAD pathway (GO:0030433)	80	44	23.01	+	1.91	7.59E-04	2.64E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	50	26.18	+	1.91	3.53E-04	1.39E-02
aerobic respiration (GO:0009060)	153	84	44.01	+	1.91	4.47E-06	2.91E-04
centrosome cycle (GO:0007098)	88	48	25.31	+	1.90	5.87E-04	2.15E-02
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	73	38.83	+	1.88	2.52E-05	1.39E-03
RNA catabolic process (GO:0006401)	158	85	45.45	+	1.87	6.13E-06	3.95E-04
RNA metabolic process (GO:0016070)	1403	753	403.56	+	1.87	3.62E-44	3.16E-41
endoplasmic reticulum organization (GO:0007029)	86	46	24.74	+	1.86	1.06E-03	3.49E-02
DNA-templated transcription, initiation (GO:0006352)	88	47	25.31	+	1.86	8.56E-04	2.92E-02
cellular respiration (GO:0045333)	180	96	51.78	+	1.85	1.99E-06	1.39E-04
regulation of signal transduction by p53 class mediator (GO:1901796)	94	50	27.04	+	1.85	6.11E-04	2.21E-02
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	61	33.08	+	1.84	1.77E-04	7.80E-03
nuclear export (GO:0051168)	121	64	34.80	+	1.84	1.27E-04	5.85E-03
regulation of translation (GO:0006417)	399	211	114.77	+	1.84	2.74E-12	3.59E-10
histone methylation (GO:0016571)	89	47	25.60	+	1.84	1.25E-03	4.01E-02
ERAD pathway (GO:0036503)	95	50	27.33	+	1.83	8.78E-04	2.97E-02
macromolecule methylation (GO:0043414)	253	133	72.77	+	1.83	4.70E-08	3.95E-06
mitotic nuclear division (GO:0140014)	164	86	47.17	+	1.82	1.19E-05	7.19E-04
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	87	47.75	+	1.82	1.30E-05	7.82E-04
nucleic acid-templated transcription (GO:0097659)	395	207	113.62	+	1.82	8.29E-12	1.04E-09
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	306	160	88.02	+	1.82	2.84E-09	2.74E-07
transcription, DNA-templated (GO:0006351)	394	206	113.33	+	1.82	1.09E-11	1.31E-09
peptidyl-lysine acetylation (GO:0018394)	115	60	33.08	+	1.81	3.42E-04	1.36E-02
mitotic sister chromatid segregation (GO:0000070)	115	60	33.08	+	1.81	3.42E-04	1.36E-02
RNA biosynthetic process (GO:0032774)	407	212	117.07	+	1.81	7.82E-12	9.91E-10
microtubule organizing center organization (GO:0031023)	102	53	29.34	+	1.81	6.67E-04	2.37E-02
RNA phosphodiester bond hydrolysis (GO:0090501)	156	81	44.87	+	1.81	2.88E-05	1.52E-03
histone acetylation (GO:0016573)	106	55	30.49	+	1.80	5.81E-04	2.13E-02
regulation of proteasomal protein catabolic process (GO:0061136)	187	97	53.79	+	1.80	5.39E-06	3.50E-04
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	56	31.07	+	1.80	4.76E-04	1.79E-02
amide biosynthetic process (GO:0043604)	500	259	143.82	+	1.80	5.07E-14	8.47E-12
nucleic acid metabolic process (GO:0090304)	2007	1037	577.30	+	1.80	2.72E-56	4.75E-53
cellular response to UV (GO:0034644)	91	47	26.18	+	1.80	1.44E-03	4.55E-02
positive regulation of proteolysis involved in cellular protein catabolic process (GO:1903052)	134	69	38.54	+	1.79	1.29E-04	5.93E-03
peptidyl-lysine modification (GO:0018205)	276	142	79.39	+	1.79	4.15E-08	3.51E-06
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	222	114	63.86	+	1.79	9.27E-07	6.91E-05
protein-containing complex disassembly (GO:0032984)	119	61	34.23	+	1.78	4.17E-04	1.60E-02
negative regulation of translation (GO:0017148)	166	85	47.75	+	1.78	2.53E-05	1.39E-03
posttranscriptional regulation of gene expression (GO:0010608)	504	258	144.97	+	1.78	1.58E-13	2.51E-11
regulation of cellular amide metabolic process (GO:0034248)	455	232	130.88	+	1.77	3.39E-12	4.41E-10
internal peptidyl-lysine acetylation (GO:0018393)	112	57	32.22	+	1.77	7.77E-04	2.69E-02
proteasomal protein catabolic process (GO:0010498)	344	175	98.95	+	1.77	1.97E-09	1.96E-07
mitotic cell cycle checkpoint signaling (GO:0007093)	118	60	33.94	+	1.77	5.46E-04	2.02E-02
double-strand break repair (GO:0006302)	189	96	54.36	+	1.77	1.12E-05	6.80E-04
protein folding (GO:0006457)	209	106	60.12	+	1.76	4.36E-06	2.86E-04
sister chromatid segregation (GO:0000819)	142	72	40.85	+	1.76	1.38E-04	6.25E-03
cell cycle checkpoint signaling (GO:0000075)	148	75	42.57	+	1.76	9.81E-05	4.67E-03
transcription by RNA polymerase II (GO:0006366)	247	125	71.05	+	1.76	6.08E-07	4.60E-05
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	257	130	73.92	+	1.76	3.81E-07	2.95E-05
negative regulation of cellular amide metabolic process (GO:0034249)	188	95	54.08	+	1.76	1.45E-05	8.62E-04
DNA replication (GO:0006260)	192	97	55.23	+	1.76	1.28E-05	7.74E-04
mitochondrion organization (GO:0007005)	409	206	117.65	+	1.75	1.44E-10	1.52E-08
methylation (GO:0032259)	306	154	88.02	+	1.75	3.48E-08	2.98E-06
positive regulation of response to DNA damage stimulus (GO:2001022)	108	54	31.07	+	1.74	1.23E-03	3.96E-02
mitochondrial membrane organization (GO:0007006)	110	55	31.64	+	1.74	1.33E-03	4.22E-02
protein acetylation (GO:0006473)	134	67	38.54	+	1.74	3.29E-04	1.32E-02
regulation of DNA repair (GO:0006282)	130	65	37.39	+	1.74	3.81E-04	1.47E-02
internal protein amino acid acetylation (GO:0006475)	114	57	32.79	+	1.74	8.72E-04	2.97E-02
RNA localization (GO:0006403)	190	95	54.65	+	1.74	2.15E-05	1.23E-03
DNA repair (GO:0006281)	478	239	137.49	+	1.74	9.10E-12	1.14E-09
macroautophagy (GO:0016236)	156	78	44.87	+	1.74	1.03E-04	4.86E-03
non-membrane-bounded organelle assembly (GO:0140694)	303	151	87.16	+	1.73	7.56E-08	6.25E-06
modification-dependent macromolecule catabolic process (GO:0043632)	547	272	157.34	+	1.73	4.20E-13	6.17E-11
regulation of mRNA processing (GO:0050684)	139	69	39.98	+	1.73	3.05E-04	1.24E-02
positive regulation of translation (GO:0045727)	137	68	39.41	+	1.73	3.73E-04	1.45E-02
positive regulation of mRNA metabolic process (GO:1903313)	115	57	33.08	+	1.72	1.21E-03	3.92E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	525	260	151.01	+	1.72	1.85E-12	2.47E-10
modification-dependent protein catabolic process (GO:0019941)	536	265	154.18	+	1.72	1.57E-12	2.13E-10
negative regulation of mitotic cell cycle phase transition (GO:1901991)	152	75	43.72	+	1.72	2.12E-04	9.17E-03
peptide metabolic process (GO:0006518)	519	256	149.29	+	1.71	4.61E-12	5.89E-10
response to endoplasmic reticulum stress (GO:0034976)	217	107	62.42	+	1.71	8.49E-06	5.30E-04
signal transduction in response to DNA damage (GO:0042770)	134	66	38.54	+	1.71	6.01E-04	2.18E-02
positive regulation of mitotic cell cycle (GO:0045931)	112	55	32.22	+	1.71	1.48E-03	4.66E-02
ATP metabolic process (GO:0046034)	202	99	58.10	+	1.70	2.64E-05	1.43E-03
cellular macromolecule biosynthetic process (GO:0034645)	1368	670	393.50	+	1.70	4.53E-30	2.16E-27
protein targeting (GO:0006605)	229	112	65.87	+	1.70	7.58E-06	4.79E-04
mRNA transport (GO:0051028)	137	67	39.41	+	1.70	5.12E-04	1.91E-02
mitochondrial transport (GO:0006839)	207	101	59.54	+	1.70	2.41E-05	1.35E-03
cellular macromolecule catabolic process (GO:0044265)	818	399	235.29	+	1.70	9.66E-18	2.41E-15
proteolysis involved in cellular protein catabolic process (GO:0051603)	602	293	173.16	+	1.69	3.60E-13	5.34E-11
regulation of RNA splicing (GO:0043484)	150	73	43.15	+	1.69	3.53E-04	1.39E-02
response to ionizing radiation (GO:0010212)	148	72	42.57	+	1.69	4.36E-04	1.66E-02
cellular protein catabolic process (GO:0044257)	629	306	180.93	+	1.69	1.02E-13	1.64E-11
positive regulation of chromosome organization (GO:2001252)	175	85	50.34	+	1.69	1.23E-04	5.72E-03
gene expression (GO:0010467)	1992	967	572.98	+	1.69	4.32E-43	3.08E-40
autophagy (GO:0006914)	272	132	78.24	+	1.69	1.71E-06	1.21E-04
process utilizing autophagic mechanism (GO:0061919)	272	132	78.24	+	1.69	1.71E-06	1.20E-04
nucleobase-containing compound metabolic process (GO:0006139)	2474	1200	711.63	+	1.69	8.43E-55	1.33E-51
cellular response to DNA damage stimulus (GO:0006974)	720	349	207.10	+	1.69	2.45E-15	4.58E-13
macromolecule biosynthetic process (GO:0009059)	1391	674	400.11	+	1.68	2.73E-29	1.26E-26
regulation of cellular protein catabolic process (GO:1903362)	256	124	73.64	+	1.68	3.86E-06	2.55E-04
DNA-dependent DNA replication (GO:0006261)	124	60	35.67	+	1.68	1.31E-03	4.18E-02
response to UV (GO:0009411)	151	73	43.43	+	1.68	3.73E-04	1.46E-02
endosomal transport (GO:0016197)	220	106	63.28	+	1.68	2.24E-05	1.27E-03
energy derivation by oxidation of organic compounds (GO:0015980)	245	118	70.47	+	1.67	7.90E-06	4.95E-04
protein catabolic process (GO:0030163)	682	327	196.17	+	1.67	5.71E-14	9.35E-12
positive regulation of cellular amide metabolic process (GO:0034250)	163	78	46.89	+	1.66	3.27E-04	1.32E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1289	616	370.77	+	1.66	1.91E-25	7.52E-23
regulation of mRNA metabolic process (GO:1903311)	291	139	83.70	+	1.66	1.51E-06	1.07E-04
regulation of protein modification by small protein conjugation or removal (GO:1903320)	243	116	69.90	+	1.66	1.28E-05	7.74E-04
protein acylation (GO:0043543)	174	83	50.05	+	1.66	2.13E-04	9.20E-03
establishment of protein localization to organelle (GO:0072594)	300	143	86.29	+	1.66	1.19E-06	8.60E-05
regulation of RNA stability (GO:0043487)	168	80	48.32	+	1.66	2.98E-04	1.22E-02
heterocycle metabolic process (GO:0046483)	2625	1249	755.06	+	1.65	7.33E-54	1.05E-50
regulation of chromosome organization (GO:0033044)	286	136	82.27	+	1.65	2.86E-06	1.94E-04
negative regulation of mitotic cell cycle (GO:0045930)	204	97	58.68	+	1.65	6.79E-05	3.32E-03
macromolecule catabolic process (GO:0009057)	909	432	261.47	+	1.65	1.16E-17	2.84E-15
regulation of macroautophagy (GO:0016241)	141	67	40.56	+	1.65	1.05E-03	3.47E-02
regulation of mRNA stability (GO:0043488)	156	74	44.87	+	1.65	5.88E-04	2.14E-02
positive regulation of cellular protein catabolic process (GO:1903364)	156	74	44.87	+	1.65	5.88E-04	2.14E-02
establishment of RNA localization (GO:0051236)	169	80	48.61	+	1.65	4.06E-04	1.56E-02
regulation of mRNA catabolic process (GO:0061013)	167	79	48.04	+	1.64	3.81E-04	1.47E-02
protein polyubiquitination (GO:0000209)	218	103	62.71	+	1.64	4.89E-05	2.47E-03
covalent chromatin modification (GO:0016569)	362	171	104.13	+	1.64	1.71E-07	1.38E-05
protein localization to organelle (GO:0033365)	640	302	184.09	+	1.64	2.47E-12	3.27E-10
DNA recombination (GO:0006310)	225	106	64.72	+	1.64	4.66E-05	2.37E-03
vacuolar transport (GO:0007034)	155	73	44.58	+	1.64	7.49E-04	2.61E-02
histone modification (GO:0016570)	357	168	102.69	+	1.64	2.51E-07	1.98E-05
cellular aromatic compound metabolic process (GO:0006725)	2688	1260	773.18	+	1.63	1.20E-51	1.57E-48
negative regulation of cell cycle phase transition (GO:1901988)	207	97	59.54	+	1.63	1.28E-04	5.92E-03
regulation of response to DNA damage stimulus (GO:2001020)	222	104	63.86	+	1.63	7.23E-05	3.52E-03
nucleobase-containing compound biosynthetic process (GO:0034654)	738	345	212.28	+	1.63	1.65E-13	2.59E-11
heterocycle biosynthetic process (GO:0018130)	809	378	232.70	+	1.62	1.02E-14	1.74E-12
RNA transport (GO:0050658)	167	78	48.04	+	1.62	6.53E-04	2.34E-02
nucleic acid transport (GO:0050657)	167	78	48.04	+	1.62	6.53E-04	2.33E-02
transport along microtubule (GO:0010970)	150	70	43.15	+	1.62	1.10E-03	3.62E-02
vacuole organization (GO:0007033)	146	68	42.00	+	1.62	1.28E-03	4.09E-02
cell division (GO:0051301)	499	232	143.53	+	1.62	3.05E-09	2.91E-07
cellular nitrogen compound metabolic process (GO:0034641)	3193	1482	918.44	+	1.61	2.02E-60	3.96E-57
DNA metabolic process (GO:0006259)	714	330	205.38	+	1.61	1.82E-12	2.45E-10
regulation of mitotic cell cycle phase transition (GO:1901990)	277	128	79.68	+	1.61	1.39E-05	8.28E-04
negative regulation of cell cycle process (GO:0010948)	254	117	73.06	+	1.60	4.13E-05	2.14E-03
establishment of protein localization to membrane (GO:0090150)	202	93	58.10	+	1.60	2.43E-04	1.04E-02
cellular protein-containing complex assembly (GO:0034622)	780	358	224.36	+	1.60	3.59E-13	5.37E-11
nucleocytoplasmic transport (GO:0006913)	216	99	62.13	+	1.59	1.72E-04	7.68E-03
nuclear transport (GO:0051169)	216	99	62.13	+	1.59	1.72E-04	7.66E-03
electron transport chain (GO:0022900)	166	76	47.75	+	1.59	1.08E-03	3.55E-02
mitotic cell cycle (GO:0000278)	599	273	172.30	+	1.58	4.76E-10	4.89E-08
regulation of protein ubiquitination (GO:0031396)	211	96	60.69	+	1.58	3.17E-04	1.29E-02
aromatic compound biosynthetic process (GO:0019438)	821	373	236.15	+	1.58	3.27E-13	4.95E-11
intracellular protein transport (GO:0006886)	689	313	198.19	+	1.58	3.15E-11	3.51E-09
mitotic cell cycle process (GO:1903047)	509	231	146.41	+	1.58	1.49E-08	1.34E-06
organic cyclic compound metabolic process (GO:1901360)	2922	1323	840.49	+	1.57	3.44E-48	3.86E-45
chromosome organization (GO:0051276)	1021	461	293.68	+	1.57	9.96E-16	2.01E-13
regulation of protein catabolic process (GO:0042176)	398	179	114.48	+	1.56	1.11E-06	8.07E-05
negative regulation of cell cycle (GO:0045786)	345	155	99.24	+	1.56	6.27E-06	4.00E-04
protein stabilization (GO:0050821)	196	88	56.38	+	1.56	7.25E-04	2.54E-02
chromosome segregation (GO:0007059)	281	126	80.83	+	1.56	5.45E-05	2.74E-03
regulation of mitotic cell cycle (GO:0007346)	433	194	124.55	+	1.56	5.19E-07	3.96E-05
nuclear chromosome segregation (GO:0098813)	221	99	63.57	+	1.56	3.31E-04	1.32E-02
regulation of protein stability (GO:0031647)	306	137	88.02	+	1.56	2.50E-05	1.39E-03
viral process (GO:0016032)	253	113	72.77	+	1.55	1.42E-04	6.42E-03
microtubule-based transport (GO:0099111)	186	83	53.50	+	1.55	1.16E-03	3.77E-02
cellular amide metabolic process (GO:0043603)	780	348	224.36	+	1.55	1.48E-11	1.72E-09
chromatin organization (GO:0006325)	686	306	197.32	+	1.55	2.63E-10	2.74E-08
Golgi vesicle transport (GO:0048193)	286	127	82.27	+	1.54	6.31E-05	3.11E-03
